Vessel: vessel_20380 type s entering , position: 0,time: Wed Dec 19 21:28:35 2018
Vessel: vessel_20380 type s leaving , position: 0,time: Wed Dec 19 21:29:06 2018
Vessel: vessel_20379 type s entering , position: 1,time: Wed Dec 19 21:28:37 2018
Vessel: vessel_20379 type s leaving , position: 1,time: Wed Dec 19 21:29:08 2018
Vessel: vessel_20385 type m entering , position: 3,time: Wed Dec 19 21:28:39 2018
Vessel: vessel_20385 type m leaving , position: 3,time: Wed Dec 19 21:29:10 2018
Vessel: vessel_20389 type l entering , position: 7,time: Wed Dec 19 21:28:41 2018
Vessel: vessel_20389 type l leaving , position: 7,time: Wed Dec 19 21:29:13 2018
Vessel: vessel_20384 type m entering , position: 4,time: Wed Dec 19 21:28:47 2018
Vessel: vessel_20384 type m leaving , position: 4,time: Wed Dec 19 21:29:15 2018
Vessel: vessel_20393 type l entering , position: 8,time: Wed Dec 19 21:28:44 2018
Vessel: vessel_20393 type l leaving , position: 8,time: Wed Dec 19 21:29:18 2018
Vessel: vessel_20382 type s entering , position: 2,time: Wed Dec 19 21:28:49 2018
Vessel: vessel_20382 type s leaving , position: 2,time: Wed Dec 19 21:29:20 2018
Vessel: vessel_20387 type m entering , position: 5,time: Wed Dec 19 21:28:51 2018
Vessel: vessel_20387 type m leaving , position: 5,time: Wed Dec 19 21:29:22 2018
Vessel: vessel_20390 type l entering , position: 9,time: Wed Dec 19 21:28:55 2018
Vessel: vessel_20390 type l leaving , position: 9,time: Wed Dec 19 21:29:27 2018
Vessel: vessel_20392 type l entering , position: 10,time: Wed Dec 19 21:28:58 2018
Vessel: vessel_20392 type l leaving , position: 10,time: Wed Dec 19 21:29:32 2018
Vessel: vessel_20391 type l entering , position: 11,time: Wed Dec 19 21:29:01 2018
Vessel: vessel_20391 type l leaving , position: 11,time: Wed Dec 19 21:29:37 2018
Vessel: vessel_20388 type m entering , position: 6,time: Wed Dec 19 21:28:53 2018
Vessel: vessel_20388 type m leaving , position: 6,time: Wed Dec 19 21:29:52 2018
Vessel: vessel_20398 type m entering , position: 11,time: Wed Dec 19 21:29:22 2018
Vessel: vessel_20398 type m leaving , position: 11,time: Wed Dec 19 21:29:54 2018
Vessel: vessel_20383 type s entering , position: 3,time: Wed Dec 19 21:29:27 2018
Vessel: vessel_20383 type s leaving , position: 3,time: Wed Dec 19 21:30:02 2018
Vessel: vessel_20381 type s entering , position: 0,time: Wed Dec 19 21:29:32 2018
Vessel: vessel_20381 type s leaving , position: 0,time: Wed Dec 19 21:30:06 2018
Vessel: vessel_20463 type l entering , position: 1,time: Wed Dec 19 21:29:37 2018
Vessel: vessel_20463 type l leaving , position: 1,time: Wed Dec 19 21:30:09 2018
Vessel: vessel_20462 type l entering , position: 7,time: Wed Dec 19 21:29:40 2018
Vessel: vessel_20462 type l leaving , position: 7,time: Wed Dec 19 21:30:12 2018
Vessel: vessel_20397 type m entering , position: 8,time: Wed Dec 19 21:29:43 2018
Vessel: vessel_20397 type m leaving , position: 8,time: Wed Dec 19 21:30:14 2018
Vessel: vessel_20459 type l entering , position: 4,time: Wed Dec 19 21:29:45 2018
Vessel: vessel_20459 type l leaving , position: 4,time: Wed Dec 19 21:30:19 2018
Vessel: vessel_20395 type s entering , position: 9,time: Wed Dec 19 21:29:48 2018
Vessel: vessel_20395 type s leaving , position: 9,time: Wed Dec 19 21:30:21 2018
Vessel: vessel_20460 type l entering , position: 2,time: Wed Dec 19 21:29:54 2018
Vessel: vessel_20460 type l leaving , position: 2,time: Wed Dec 19 21:30:24 2018
Vessel: vessel_20461 type l entering , position: 10,time: Wed Dec 19 21:29:57 2018
Vessel: vessel_20461 type l leaving , position: 10,time: Wed Dec 19 21:30:29 2018
Vessel: vessel_20386 type m entering , position: 11,time: Wed Dec 19 21:30:02 2018
Vessel: vessel_20386 type m leaving , position: 11,time: Wed Dec 19 21:30:31 2018
Vessel: vessel_20396 type m entering , position: 3,time: Wed Dec 19 21:30:14 2018
Vessel: vessel_20396 type m leaving , position: 3,time: Wed Dec 19 21:30:33 2018
Vessel: vessel_20394 type s entering , position: 5,time: Wed Dec 19 21:30:24 2018
Vessel: vessel_20394 type s leaving , position: 5,time: Wed Dec 19 21:30:35 2018
